AMBIENTE,DEVICE,ID,STATUS,DATA,HORA
sala,porta,01,130.596268 36.889149,2018-11-15,20:36:14.856347
sala,porta,01,148.298721 36.889149,2018-11-15,20:36:14.906707
sala,porta,01,3573.360107 36.889149,2018-11-15,20:36:14.957077
sala,porta,01,77.525131 36.925350,2018-11-15,20:36:15.007426
sala,porta,01,3552.236572 36.925350,2018-11-15,20:36:15.057758
sala,porta,01,75.715065 36.889149,2018-11-15,20:36:15.114536
sala,porta,01,135.809265 36.907249,2018-11-15,20:36:15.182141
sala,porta,01,3567.966064 36.925350,2018-11-15,20:36:15.626697
sala,porta,01,77.525131 36.907249,2018-11-15,20:36:15.692050
sala,porta,01,134.524109 36.925350,2018-11-15,20:36:15.940375
sala,porta,01,3556.743652 36.925350,2018-11-15,20:36:16.248844
sala,porta,01,76.185684 36.925350,2018-11-15,20:36:16.384899
sala,porta,01,131.465103 42.645157,2018-11-15,20:36:16.550990
sala,porta,01,3550.679932 36.925350,2018-11-15,20:36:16.959038
sala,porta,01,78.412064 30.952131,2018-11-15,20:36:17.031925
sala,porta,01,3584.799805 36.925350,2018-11-15,20:37:47.484973
sala,porta,01,37.812283 36.925350,2018-11-15,20:37:47.572813
sala,porta,01,3564.925293 36.925350,2018-11-15,20:37:47.995156
sala,porta,01,37.812283 36.925350,2018-11-15,20:37:48.081560
sala,porta,01,3593.542236 36.925350,2018-11-15,20:37:48.507498
sala,porta,01,37.776081 36.907249,2018-11-15,20:37:48.591935
sala,porta,01,3590.953857 36.925350,2018-11-15,20:37:48.951620
sala,porta,01,37.794182 36.889149,2018-11-15,20:37:49.120140
sala,porta,01,3550.716064 36.925350,2018-11-15,20:37:49.539496
sala,porta,01,37.377865 47.333229,2018-11-15,20:37:49.638152
sala,porta,01,3551.404053 36.925350,2018-11-15,20:37:50.043236
sala,porta,01,37.812283 36.925350,2018-11-15,20:37:50.122128
sala,porta,01,3545.104980 36.925350,2018-11-15,20:37:50.555104
sala,porta,01,37.812283 48.708878,2018-11-15,20:37:50.631778
sala,porta,01,3559.911377 36.925350,2018-11-15,20:37:51.067331
sala,porta,01,37.830383 44.238014,2018-11-15,20:37:51.131802
